,content,create_time,reference_time,score,nickname
0,"外形外观：白色的挺好看的。
屏幕音效：屏幕也非常的舒服。
拍照效果：拍照还是可以接受的录视频是很棒的yyds。
运行速度：很流畅，但是出现过卡顿。
待机时间：可能八个小时吧。
拍的视频也还可以，手机也很轻巧特别喜欢。很适合妹子使用。",2022-01-29 15:59:25,2022-01-09 22:06:54,5,回***丶
1,"外形外观：和12mini基本一致，厚度有所增加
屏幕音效：屏幕很棒，视野更广
拍照效果：听说主摄是12pm同款，扫码就完了
运行速度：A15功耗比确实nb，低电量模式yyds
待机时间：日常使用续航略高于12，完爆12mini
其他特色：送货超级快，12免息还送ac+，岂不美哉？
最后附送与12mini对比图",2021-09-25 22:30:36,2021-09-20 11:20:29,5,东***了
2,"外形外观：终于，等到直角边再次回归
屏幕音效：屏幕有些太亮，声音反正够用就好
拍照效果：用得不多，满足全部需求
运行速度：非常快了
待机时间：非常满意
其他特色：最新一代就是爽，满足一切需求，也许是最后一代mini",2022-03-04 15:30:47,2022-02-02 23:59:09,5,p***x
3,"外形外观：外形外观比较亮丽，抢眼，做工一流，材质相当好，一拿上手就有爱不释手，不想放下的感觉。
屏幕音效：屏幕流畅，颜色比较鲜艳，音效好。
拍照效果：拍照效果比原来的iPhone mini2要好。",2021-10-30 22:53:01,2021-10-29 19:57:51,5,J***颂
4,"外形外观：非常出色的外观设计，小巧精致颜值直接拉满！真机上手蓝色非常漂亮！
屏幕音效：小钢炮屏幕PPI居然比大哥们还高，清晰锐利，外放音质也很不错，完全超出预期！
拍照效果：跟大哥们同款摄像头，拍摄效果相当不错
运行速度：A15加持，苹果YYDS，想卡顿都难
待机时间：待机时间比起前辈12mini有长足的进步，比起12都长这点令人惊喜！",2022-03-06 11:39:35,2022-03-05 09:50:17,5,今***Z
5,买13mini我的初衷是他的mini，可以单手操作，5.4英寸听说要绝版了，果断在双十二入手，还用了京东白条分期，12期免息哦，非常香，太香了，说说两个月的使用感受，苹果15的系统是不错的，很多新功能很实用，比如说新加的专注模式，就很人性化。说说大家比较关心的电池问题，我不玩游戏，不看电电影，正常来说，一天一充，基本上符合我的需求，手机摄像头还没用习惯，带后续待补充，所有的苹果手机都在京东自营买的，肯定正品，绝对放心购买！,2022-02-03 19:12:58,2021-12-12 07:34:46,5,l***n
6,想买一个手机作为备用手机的，看来看去还是选择了苹果，mini的机身非常小巧，单手就可以随意操作，手感很棒。和主力机共用一个Apple ID，共享数据也很方便。,2022-01-09 17:40:04,2021-11-10 20:50:20,5,夜***楓
7,终于到手13mini啦 好小巧 好可爱 比官网便宜 也是分期12期 很好哦 上班族的最好选择了 超级顺手 上一个手机是用了三年的X R 该退休了 希望用得住,2021-11-04 15:18:53,2021-11-03 14:01:36,5,s***1
8,"目前小手机只有对它比较满意，手感不错，音质，屏幕显示都好，拍照清楚度可以，使用几天没发现信号不好，电池使用也正常，关键轻巧好玩，送发货快，很满意。
屏幕音效：好
外形外观：好
拍照效果：好
运行速度：快
其他特色：轻巧
待机时间：正常",2021-11-23 15:50:17,2021-11-19 09:41:01,5,c***0
9,就喜欢小屏幕手机。之前用的是iPhonese，这次看到有猛男@的mini，毫不犹豫下手。外形外观：精致美观屏幕音效：非常不错拍照效果：和之前12promax一样的主摄和广角。运行速度：A15，傲视群雄。待机时间：比之前12mini强了很多。,2021-12-24 20:50:16,2021-11-11 23:01:00,5,j***r
10,"外形外观：Iphone13 系列经典的外观设计，懂得都懂，没啥好说的
屏幕音效：屏幕很棒，显示超细腻，磁精的表面也很抗摔
拍照效果：很棒，摄影有电影效果，玩玩也还弯好
运行速度：非常快，毫无卡顿，很跟手的感觉
待机时间：一天半是没有任何问题轻度使用
其他特色：小巧，精致，妥妥的小屏旗舰，没有之一！",2021-12-07 11:58:37,2021-11-10 20:03:10,5,t***e
11,"用了两年多的xr终于下岗了，迎来了新伙伴13mini。256G的内存应该是够用了。
外形外观：午夜百搭，大气低调。
拍照效果：高清的不要不要的。
运行速度：快",2021-11-12 08:17:27,2021-11-10 20:02:15,5,心***想
12,入手mini星光色，小巧精致，单手操作非常方便，使用了一个多星期了，各方面都很不错的，握着就很舒服。5.4的直面屏，手感很好，屏幕显示的非常清晰，手机不会太小，也不会太大，对于女生来说是刚刚好的。音质也是非常的好，没有什么噪音，低音模式也很好。对于我来说，最惊喜的还是拍照，尤其是电影模式，摄像自动对焦，清晰度清晰的不能再清晰了。,2022-02-05 11:15:51,2022-01-27 22:36:05,5,****1
13,作为小屏党，mini手机已到货！当天上午下单，下午送到，京东yyds！手感没的说，小小的非常顺手！a15处理器也是当下最牛的处理器，没有之一！流畅、精致、手感，都达到了最完美的统一，最担心的就是下一代不再出mini了，所以不犹豫，拿下！,2022-02-28 11:16:17,2022-02-22 19:49:13,5,-***宇
14,"外形外观：以前用过SE一代，现在回归设计，外观方方正正，小小的一只?一手掌控感觉真好。这次买的粉色的，我觉得猛男们可以冲一冲??
屏幕音效：屏幕观感很好，第一次用OLED 屏幕的手机，没有感觉到不适，相比较LCD屏幕的手机确实艳丽很多，尤其是HDR的视频，真的太好看了??扬声器符合苹果手机的水平，立体声明显，很是通透。
拍照效果：拍照很流畅，使用几天没有感觉到打开相机杀后台的问题，尤其是视频稳定的不像话，去年Promax下放的传感器位移防抖，只能说666。
运行速度：虽然只有60HZ，结合iOS系统的优化，每次滑动，都是一种享受。配上线性马达回馈简直爱了爱了。
待机时间：相比去年12mini提升明显，一是电池的增大，二是A15采用最新台积电N5P工艺，功耗发热控制很好。
其他特色：可以说13mini是小众手机，从尺寸大小就可以确定，喜欢的人喜欢不行，不喜欢的使劲贬低，我只想说自己喜欢就好，没有必要过多去要求别人怎样怎样
现在做小屏旗舰手机厂家不多，苹果是一个，希望明年还会遇到14mini以后还会有更多的mini。",2021-11-04 13:49:58,2021-10-31 22:35:38,5,米***兔
15,"外形外观：外观设计很好，很喜欢
屏幕音效：屏幕显示很棒，音质很nice
拍照效果：拍照效果杠杠的
运行速度：运行速度流畅，不卡顿
待机时间：目前很好，需要用段时间才能知道
其他特色：我是小屏手机的忠实粉丝，不喜欢手机屏幕太大，13mini是我很好的选择",2022-02-15 21:47:48,2022-01-25 10:53:48,5,冰***韵
16,手机还行吧，就是价格可以再优惠点,2021-12-07 15:37:09,2021-11-12 10:44:10,3,****h
17,"外形外观：很好看
屏幕音效：不错
拍照效果：很棒
运行速度：很快
待机时间：时间长
其他特色：一直用苹果这个系统特别的好用。红色的这个颜色也让人非常的喜欢。尤其是电影模式的摄影，让人感觉拍照片更好看了。送这个维修服务，我真是让人感觉更放心了，然后嗯，别说也更有保障。",2021-10-13 19:05:04,2021-09-17 23:02:02,5,兰***寂
18,"心心念念粉色，很喜欢?&hellip;&hellip;
外形外观：新款粉色喜欢，512内存终于终于没压力了！
屏幕音效：清晰！
拍照效果：棒棒哒！
运行速度：快！
待机时间：还可以接受！
其他特色：依然一个手可以掌控！",2021-11-17 20:53:58,2021-11-10 20:53:59,5,****b
19,手机使用了一段时间了，感觉真的不错！刚开始拿到手的时候感觉有点小，主要是用我的11用习惯了，还在好了手感真的不错！速度很快！很流畅！相信苹果的品质，一如既往的好。还有我们的京东物流真的该给力！下完单不到十个小时就送到了，这个必须点赞好评！,2021-12-21 21:46:51,2021-12-04 21:26:07,5,u***r
20,真不错，过去用过苹果，这次当备用机使用，没想到十分满意，使用感觉很流畅，系统也很干净，大屏、小屏手机各有各的优势，色彩、清晰度也相当满意！小巧又方便携带！,2021-11-11 15:34:01,2021-11-10 20:01:28,5,****l
21,"外形外观：非常精致，握感很舒服，一只手轻松操作
屏幕音效：显示很完美，比大屏的看着精致
拍照效果：拍照功能多，很清晰
运行速度：速度快
待机时间：比12时间长
其他特色：小屏党的福音，送货速度非常快，第一天就收到了",2021-09-24 23:00:05,2021-09-19 16:41:35,5,****1
22,京东双十一活动价特别实惠，果断剁手了，iPhone 13是真的香，大小也刚刚合适，一只手使用非常方便，外观依旧时尚漂亮的不像话，太爱了！京东物流超级给力，基本都是次日达，客服也特别有耐心，支持京东感谢京东！,2021-11-29 11:45:54,2021-11-07 15:05:20,5,l***2
23,"先认真来一波拆箱感言吧，昨天八点多下的单子，今天下午就到了。拆开外包装，内里就一个小小的手机盒和充电头盒子，小巧精致，包装简洁，一点也不花里胡哨，看着好高冷哈哈。
外形外观：小巧精致，质感不一般，5.4英寸女孩子足够，男的就太小了。一开始没有抢到红色，就买了粉色，一开始怕俗气，到手之后发现很粉嫩，正适合我这种小个子女孩子，超可爱又不艳俗，淡粉色又很雅致，外观一流的苹果特色，没得说的。由于第一次用苹果产品，看了好多评价也有很多差评，比如边缘壳有缝隙可以插进去A四纸，我拿到手就仔细观察，没有发现这一毛病，同时有觉得自己还蛮幸运。总之，抛开内里软硬件，这是一个一拿到手就爱不释手的小可爱。
运行速度：有待追评
屏幕音效：有待追评
拍照效果：有待追评
待机时间：有待追评
其他特色：尚未发现
买的是充电器套餐，充电器也很小巧，比起我之前用的安卓机，小了很多，携带也更方便，不得不感叹，苹果太会猜女孩子的心思了。现在的手机普遍大屏，对女孩子而言有时候很不方便，13mini很好的解决了这些顾虑，单手打字不费劲，揣兜里也不怕掉。当然不能因为他的高颜值就让我对其的印象先入为主，其他性能等我上手试用了再来好好追评吧。",2021-11-11 18:10:52,2021-11-10 20:01:17,5,Z***c
24,手机很小巧，和以前的屏幕不一样，边框现在是直角了，屏幕显示很清晰，小屏手机拿着不累，运行速度快,2022-02-05 12:05:14,2022-02-04 13:18:32,5,y***0
25,"大小刚刚好，这是第5个爱疯了，
外形外观：漂亮
屏幕音效：很好，音质细腻
拍照效果：很好，比上几代的像素好了很多
运行速度：yyds
待机时间：刚开始用
其他特色：真香",2022-02-04 22:39:03,2022-02-03 10:17:29,5,萌***头
26,搭配上手机壳钢化膜 哇撒手感真的不要太好，大屏手机永远也感受不到的快乐，出门无压力随便一个兜兜都可以装，只有140g致敬4S的重量啊！爽歪歪，收到货立马拆箱激活一桶软件下载，调试，安逸，太香了，太死丝滑了，小拇指救星大爱！,2021-09-27 19:11:25,2021-09-26 12:27:38,5,橘***橘
27,选了这个颜色，非常好，因为我喜欢蓝色，蓝色也代表了永恒，之前用了 xr因为太大无法适应，一直想换小屏幕的，特别给力，比xr运行速度要快，还能5G信号有点弱，有时候经常无服务，其他还没问题，拍照一如既往清楚，也可能我是老果粉，用习惯了苹果，所以对13总体还是特别满意，尤其是这个5.4的屏幕。,2021-12-27 20:13:59,2021-12-11 22:48:37,5,康***爷
28,"外形外观：很好！太小，很喜欢。
屏幕音效：屏幕很清楚，在户外完全看清楚了。
拍照效果：还可以，近距离拍摄不行，不能对焦，拍月亮肯定不行，这是最大的缺点。
运行速度：毫无悬念，超过安卓。
待机时间：够一天使用。
其他特色：我喜欢小屏幕！",2021-11-10 20:50:37,2021-11-06 10:08:49,5,秦***伙
29,"还是很不错的
我从苹果8换的。emm确实快了些。拍照锐化很严重倒是真的。信号有时候断流。能接受吧&hellip;&hellip;",2021-11-20 19:39:04,2021-11-11 16:25:20,5,q***3
30,"外形外观：外观漂亮，颜色很漂亮。很mini，很方便。
屏幕音效：屏幕很不错，显示效果好，音质好，很不错，声音够大也够小，晚上看视频不影响别人。
拍照效果：还不错，不太关注这个。
运行速度：很流畅。",2022-01-21 15:29:10,2022-01-02 10:59:13,5,l***0
31,"外形外观：小巧精致实用方便，
屏幕音效：双同步音质很不赖
拍照效果：照相分辨率不太好，购买时不追求拍照的可以考虑购买，
运行速度：跟其他一样
待机时间：时间很长
其他特色：待机时间长",2021-10-07 07:31:53,2021-09-26 22:52:42,5,S***凉
32,手机很完美，白色很漂亮。这款是MINI哦，小巧可爱。已经用了一段时间了，没有不顺手的地方。屏幕触感非常顺滑，单手全屏幕操作没有困难。非常满意,2021-10-12 16:46:18,2021-09-25 11:44:21,5,****v
33,"外形外观：我是小屏党，巴适的很
屏幕音效：屏幕没毛病，声音小点，铃声开最大放口袋里街上不太听得到
拍照效果：一般情况下都很完美，但就那种特别近的距离一直无法聚焦
运行速度：快，流畅
待机时间：感觉挺耐用也
其他特色：小巧方便",2021-11-09 02:56:10,2021-11-02 00:03:08,5,风***往
34,13粉色256已经收到，京东的数码到货依旧是非常的快，年货节下单，价格降了不少，之前用的12，抵扣降价购买，非常的划算，粉色非常的漂亮，手感舒适，运行流畅不卡顿，信号增强了很多，比十二好多了，查了下码也是没有问题的，相信京东的质量。,2022-02-15 11:02:47,2022-01-10 21:55:51,5,R***g
35,帮老婆买的13mini，老婆不喜欢大屏手机。13mini单手操作5.4寸的屏幕很方便，打字也很便捷。手机轻薄携带方便。稍有遗憾的是屏幕刘海太大，如果将来14mini还生产的话，能够改进。外形和第一次使用苹果手机的4S很像，果真是经典机型。京东物流一如既往的快捷和可靠。,2021-11-02 20:05:00,2021-10-30 14:24:48,5,****H
36,用过之后，才来评价，保证真实。13香第一天正式发售，没赶上。第二天刷app，惊奇发现还有货，赶快下单。京东快递太快了，下午就收到货。开箱验机，手感也太好了。之前本就一直看好12mini，这个升级后，更香了。256G妥妥够用，大红色，很喜庆，套个黑壳，甚是低调。京东还送AC，不能再香。,2021-10-25 11:04:15,2021-09-25 11:59:10,5,昭***楠
37,"外形外观：握持手感相当滴好，带壳与不戴壳手感俱佳，相比于PRO MAX的厚重，单手握持操作的mini真的不要太爽！
屏幕音效：立体声双扬声器与PRO MAX不相上下，屏幕也非常艳丽，显示效果非常好，13mini也是所有iPhone产品里面PPI屏幕像素最高的。
拍照效果：这一代的mini与上代12PRO MAX用了同样的传感器位移式防抖，只是没有13PRO上的长焦镜头，拍照录像效果都非常不错。
运行速度：13mini上的A15虽然GPU少了一颗核心，但丝毫不影响流畅性，无论是日常使用还是想玩玩游戏都毫无压力，搭配PD20W快充，充电速度也很给力。
待机时间：好的使用体验来自软硬件的结合，iPhone13mini搭载A15处理器，本身相较于上代处理器更省电，加上增大的电池，13mini整体的续航不亚于尺寸更大的iPhone12。

其他特色：这一代的mini产品都很给力，13mini更是小屏党的福音，上一代续航不行的短板给补齐了，处理器又上了一个新台阶，价格也很实惠，双11期间13mini128G入手仅比iPhone12的128G多了一百（双11期间的优惠对比），相当划算了！",2021-11-17 09:12:05,2021-11-10 21:04:47,5,发***财
38,很不错的，一个小手机，非常适合手小的人使用，如果喜欢晓晓手机，性能里面最好的应该就是这一款啦，建议大家买。颜色粉色还不错，拍照效果。很真实，色彩很真。,2021-09-29 01:13:03,2021-09-18 11:11:07,5,离***子
39,刚买就开始送***，还优惠四五百，伤心透了,2022-02-01 14:32:41,2022-01-26 21:59:15,3,丨***丶
40,很不错，性能很好，用起来很舒服，表面看起来质感很不错，摸起来也很有质感，很多不错的功能，屏幕效果也很好，拍照的清晰度也很好，很清晰，然后运行速度也很快，各种软件安装运行起来也很好，待机时间也还可以，非常喜欢。,2021-11-20 21:58:49,2021-11-11 11:32:14,5,小***可
41,手机不错，反应很快，直接从8换到13，13的体验还是很不错的，屏幕显示很细腻，拍的照片明显比苹果8更好，拿在手里的质感也很好，外放声音更大，音质 更好。,2021-10-24 17:55:50,2021-10-14 16:48:42,5,G***校
42,这个手机不错，买了以后打开就用了，颜色好看，性能了很好，买了以后就没有货了就，苹果颜值高性能也好，信任京东，速度也飞快，好好我很喜欢,2021-10-20 10:42:40,2021-10-18 13:56:08,5,1***i
43,"外形外观：好看 百搭
屏幕音效：屏幕清晰 音质很好
拍照效果：很好
运行速度：还可以 流畅 不卡
待机时间：一般情况使用 一天一充
其他特色：手感不错 单手操作很舒服",2022-01-07 21:54:01,2021-12-30 23:37:29,5,z***顺
44,"双11的抢购活动费了很多心思，但好在结果是相当不错的
最后4499 12免下单粉色mini 虽然当时忘了加9块多个充电头(想想就很气) 外形续航拍照这些我就不说了 想买的自然 有所了解 最重要的还是看需求，手机重度使用者应该用不上 适合自己的才是最好的",2021-11-24 12:07:55,2021-11-10 20:03:04,5,****j
45,"外形外观：非常小巧，重量比较轻，非常适合女生使用，单手操作无压力，粉色的非常漂亮
屏幕音效：显示效果非常好 
运行速度：运行比较快，一点不卡顿
待机时间：目前还可以，用一天没问题",2021-11-03 14:54:15,2021-10-29 09:12:08,5,R***i
46,很迷你的苹果13                                                                  用惯小的不喜欢用大的，以前用苹果SE2，刚刚合适，今年这款苹果min13比SE2还小，有点出乎意料了，这是我用苹果第六个了，太费了，伤不起，买苹果还是喜欢在京东自营上买，货真价实,2021-10-04 22:16:46,2021-09-20 11:53:10,5,1***p
47,真的超赞 很流畅 苹果迷 在京东买过很多台iphone了，其实本人不懂电子产品 只管用起来舒服 速度很快 小巧玲珑很可爱 颜值很高 蓝色好漂亮 满足满分,2022-01-12 18:07:51,2021-11-11 18:30:47,5,凤***明
48,"京东双十二入手很划算，三码合
开箱全新正品，
和方位查看没有使用痕迹和划痕，很完美
13mini手感超级棒，单手握持完全无压力，单手操作所
有区域很方便，小拇指终于轻松了
性能方面是最不用担心的，加上ios系统 使用体验很好",2021-12-26 23:17:56,2021-12-11 20:00:34,5,辉***6
49,13系列刚发布时，就急忙去线下官店体验了一下所有机型，最看中的就是13和13mini。这次趁着京东有优惠下单了13mini，单手握持，操作，非常方便，轻巧。后面配一个官方硅胶壳，完美。,2022-02-02 15:38:51,2022-01-31 23:51:35,5,i***9
50,特别喜欢，就喜欢这么小的手机。特别适合我。小巧，一张卡，其他的功能都一样。太好啦，是我买到最称心的手机。手感特别好。电池也特别好用。用了一周才来评价，真心不错。,2021-11-20 18:40:36,2021-11-11 20:09:48,5,y***l
51,"外形外观：很漂亮，小手机很棒的
屏幕音效：一点不比13差
拍照效果：不错?
运行速度：很快，很好用，打游戏一样稳
待机时间：待机有点那啥，不够还可以啦。",2022-03-13 16:25:30,2022-03-07 00:34:01,5,朱***2
