,content,create_time,reference_time,score,nickname
0,"外形外观：非常好看 是我最喜欢的黑色 很稳重
屏幕音效：屏幕完美无瑕 音效非常适合
拍照效果：苹果拍照效果不用多说 朋友都喜欢用我的苹果拍
运行速度：极快 不愧是a15 根本无可匹敌
待机时间：超级长 苹果的续航越来越强
其他特色：性价比非常高 价格比以前的甚至略有降低",2022-02-22 19:20:34,2022-02-12 21:25:20,5,****5
1,东西昨天已经收到了，等了一个礼拜不到，苹果13mini比想象中的还要小，真的很小巧可爱，适合女生使用。外观比较典型的苹果风格。速度非常流畅，ios不是盖的。,2021-09-26 12:02:07,2021-09-19 12:09:25,5,****0
2,"外形外观：小巧精致，很轻。很适合自己
屏幕音效：和13没什么区别。就是尺寸不一样而已
拍照效果：感知不大。用苹果多年
运行速度：还是一样的顺滑
待机时间：一天到晚都可以接受。
其他特色：选适合自己的",2022-01-20 11:29:34,2022-01-10 11:43:36,5,弥***色
3,"大小刚好合适，小手机大屏幕，真的很香。感觉mini比13还要好用的呀！这个比8还小，但是屏幕比8大多了，真好用。内存128.再也不用担心存储不够用了！！
还有就是，活动价，加上京豆、e卡到手不到4k5，京东yyds.",2022-03-08 23:19:56,2022-02-06 09:48:21,5,你***过
4,"正品行货
外形外观：外面很漂亮，粉色的
屏幕音效：屏幕很清晰耐磨，
拍照效果：拍照效果好，
运行速度：运行速度快
待机时间：待机时间长
其他特色：其他特殊就是手机很小，单手握持很舒服，屏幕用起来很舒服。",2021-11-06 19:09:14,2021-11-01 00:29:37,5,蒋***学
5,"外形外观：屏幕很小，可以单手操作啊，很方便
拍照效果：立体感真的太好看了，一如既往好看
运行速度：运行速度很快啊
待机时间：还行吧",2022-02-18 10:06:05,2022-02-11 23:40:22,5,x***6
6,非常非常好，快递非非非常快，服务非常满意，屏幕一流，可以单手操作，轻盈舒适，绝对不会后悔，简直是太好了，完全对得起这个价格，无可挑剔！,2021-10-02 15:42:02,2021-10-01 19:03:52,5,****凌
7,iPhone 13mini尺寸真的是超级喜欢，蓝色yyds，毕竟是我最爱的颜色，拍照很清晰，算法处理的不错，简直同级无敌的存在，系统用起来也很流畅，缺点就是单卡，快充有点烫！喜欢的话就下手吧！,2021-11-18 11:01:00,2021-09-25 10:03:57,5,O***T
8,"第一款苹果手机是苹果7，用了四五年了，一点没卡过，屏幕碎了，但是不影响使用，喜欢这种小型机，干活方便，也很很可爱
特别是今年的价格，真是打动我的心
哈喽，你好，萨瓦迪卡，喜喜，我爱mini 13苹果手机",2021-09-27 20:25:07,2021-09-17 20:00:51,5,得***动
9,"外形外观：小巧可爱，是我喜欢的类型，之前用的11，这次买了这个小的，用起来很方便
拍照效果：很棒，
运行速度：嗖嗖的，无卡顿
待机时间：一天充一次电",2022-01-14 14:07:35,2021-12-04 12:31:41,5,x***1
